Datetime,RecNbr,DepthFT_Med,PTemp_C_Avg,DepthFT2_Avg,TurbRound24,TurbNTU2_Med,TurbNTU2_Std,TurbNTU2_Max,TurbRound05,TurbRAvg24hr2,TurbNTU2_Min,TurbNTU_Std,TurbNTU_Avg,TurbRAvg24hr,PTemp_C_Med,TurbNTU_Med,DepthFT_Avg,TurbSign05,DepthFT2_Med,TurbNTU2_Avg
2015-05-21 14:50:00,99,-0.217,20.36,0.054,5.0,2.518,2.769,8.31,3.0,4.759,-1.404,2.296,4.967,4.759,20.37,5.248,-0.218,3.452,0.056,2.349
2015-05-21 14:55:00,100,-0.215,20.42,0.053,5.0,3.264,2.933,7.933,3.0,4.737,-1.405,2.574,4.708,4.737,20.42,4.617,-0.216,2.518,0.051,2.679
2015-05-21 15:00:00,101,-0.177,20.49,0.051,5.0,3.638,3.016,7.933,3.0,4.722,-1.405,2.783,4.68,4.722,20.48,4.406,-0.179,3.264,0.051,3.102
2015-05-21 15:20:00,105,-0.199,20.95,0.035,5.0,3.451,2.788,8.31,3.0,4.662,-1.405,2.378,5.402,4.662,20.96,5.458,-0.198,2.517,0.034,2.623
2015-05-21 15:25:00,106,-0.215,20.99,0.041,5.0,3.825,2.769,8.31,3.0,4.651,-1.405,2.452,5.184,4.651,20.99,5.458,-0.217,3.451,0.04,3.084
2015-05-21 15:30:00,107,-0.223,20.99,0.051,5.0,4.011,2.659,8.31,4.0,4.643,-1.405,2.468,5.016,4.643,20.99,5.037,-0.223,3.825,0.05,3.376
2015-05-21 15:35:00,108,-0.227,20.98,0.05,5.0,4.011,3.087,7.933,4.0,4.637,-1.405,2.623,5.002,4.637,20.99,4.616,-0.23,4.011,0.049,3.127
2015-05-21 15:40:00,109,-0.239,20.96,0.046,5.0,4.198,2.818,8.31,4.0,4.631,-1.405,2.596,5.093,4.631,20.96,5.037,-0.239,4.011,0.044,3.469
2015-05-21 15:45:00,110,-0.245,20.94,0.058,5.0,2.704,3.187,8.31,4.0,4.627,-1.405,2.297,5.121,4.627,20.93,5.247,-0.244,4.198,0.059,2.828
2015-05-21 15:50:00,111,-0.249,20.9,0.065,5.0,2.704,2.705,8.31,3.0,4.61,-1.405,2.554,5.17,4.61,20.91,5.037,-0.249,2.704,0.071,2.43
