Datetime,RecNbr,DepthFT_Med,PTemp_C_Avg,DepthFT2_Avg,TurbNTU2_Med,TurbNTU2_Std,TurbNTU2_Max,TurbNTU2_Min,TurbNTU_Std,TurbNTU_Avg,PTemp_C_Med,TurbNTU_Med,DepthFT_Avg,DepthFT2_Med,TurbNTU2_Avg
2015-05-21 15:00:00,34,-0.206,20.42,0.053,3.078,2.924,8.31,-1.405,2.562,4.785,20.42,4.617,-0.204,0.051,2.71
2015-05-21 15:30:00,36,-0.211,20.98,0.042,3.824,2.756,8.31,-1.405,2.438,5.201,20.99,5.458,-0.213,0.044,3.028
2015-05-21 15:45:00,37,-0.237,20.96,0.052,3.824,3.046,8.31,-1.405,2.51,5.072,20.96,5.037,-0.237,0.05,3.141
2015-05-21 16:00:00,38,-0.245,20.87,0.068,3.451,2.805,8.31,-1.405,2.707,5.156,20.87,5.037,-0.246,0.071,3.042
2015-05-21 16:15:00,39,-0.252,20.93,0.05,3.451,4.285,46.03,-1.405,4.209,5.607,20.93,5.457,-0.253,0.05,3.054
2015-05-21 16:30:00,40,-0.276,21.01,0.045,3.451,2.949,8.31,-1.405,2.709,5.556,21.02,5.878,-0.276,0.044,2.857
2015-05-21 16:45:00,41,-0.299,21.07,0.044,3.451,2.963,8.31,-1.405,2.694,5.563,21.07,5.878,-0.298,0.045,2.992
2015-05-21 17:00:00,42,-0.287,21.16,0.044,3.45,2.87,8.31,-1.405,2.462,5.626,21.15,5.878,-0.29,0.047,2.977
2015-05-21 17:15:00,43,-0.297,21.21,0.048,3.45,3.024,8.68,-1.405,2.75,5.651,21.21,5.878,-0.298,0.05,2.909
2015-05-21 17:30:00,44,-0.321,21.27,0.047,3.824,2.888,8.31,-1.032,2.696,5.583,21.26,5.457,-0.322,0.05,3.282
2015-05-21 17:30:00,44,-0.321,21.27,0.047,3.824,2.888,8.31,-1.032,2.696,5.583,21.26,5.457,-0.322,0.05,3.282
2015-05-21 17:30:00,44,-0.321,21.27,0.047,3.824,2.888,8.31,-1.032,2.696,5.583,21.26,5.457,-0.322,0.05,3.282
2015-05-21 17:45:00,45,-0.348,21.32,0.047,3.824,2.826,8.31,-1.032,2.653,5.723,21.31,5.878,-0.348,0.045,3.11
2015-05-21 18:00:00,46,-0.36,21.37,0.051,3.824,2.903,8.31,-1.032,2.718,5.814,21.37,5.457,-0.36,0.054,3.562
2015-05-21 18:15:00,47,-0.349,21.43,0.047,3.824,3.947,38.93,-1.032,4.651,6.338,21.42,6.298,-0.35,0.05,3.382
2015-05-21 18:15:00,47,-0.349,21.43,0.047,3.824,3.947,38.93,-1.032,4.651,6.338,21.42,6.298,-0.35,0.05,3.382
2015-05-21 18:15:00,47,-0.349,21.43,0.047,3.824,3.947,38.93,-1.032,4.651,6.338,21.42,6.298,-0.35,0.05,3.382
2015-05-21 18:30:00,48,-0.331,21.5,0.046,3.823,2.92,8.31,-1.405,2.486,5.606,21.51,5.457,-0.334,0.05,3.238
2015-05-21 18:30:00,48,-0.331,21.5,0.046,3.823,2.92,8.31,-1.405,2.486,5.606,21.51,5.457,-0.334,0.05,3.238
2015-05-21 18:30:00,48,-0.331,21.5,0.046,3.823,2.92,8.31,-1.405,2.486,5.606,21.51,5.457,-0.334,0.05,3.238
2015-05-21 18:30:00,48,-0.331,21.5,0.046,3.823,2.92,8.31,-1.405,2.486,5.606,21.51,5.457,-0.334,0.05,3.238
2015-05-21 18:30:00,48,-0.331,21.5,0.046,3.823,2.92,8.31,-1.405,2.486,5.606,21.51,5.457,-0.334,0.05,3.238
2015-05-21 18:45:00,49,-0.323,21.58,0.049,4.196,2.75,8.3,-1.033,2.608,5.755,21.59,5.456,-0.324,0.046,3.329
2015-05-21 18:45:00,49,-0.323,21.58,0.049,4.196,2.75,8.3,-1.033,2.608,5.755,21.59,5.456,-0.324,0.046,3.329
