Datetime,RecNbr,TurbNTU,DepthFT2,TurbNTU2
2015-05-21 14:45:20,5877,5.458,0.102,3.451
2015-05-21 14:45:25,5878,8.4,0.054,-1.031
2015-05-21 14:45:30,5879,7.14,0.078,2.704
2015-05-21 14:45:35,5880,7.561,0.068,3.451
2015-05-21 14:45:40,5881,6.299,0.058,4.198
2015-05-21 14:45:45,5882,8.82,0.041,2.331
2015-05-21 14:45:50,5883,5.458,0.054,-1.404
2015-05-21 14:45:55,5884,3.776,0.081,2.704
2015-05-21 14:46:00,5885,2.094,0.105,-1.404
2015-05-21 14:46:05,5886,5.879,0.068,3.078
2015-05-21 14:46:10,5887,3.355,0.037,5.319
2015-05-21 14:46:15,5888,5.037,0.068,-0.657
2015-05-21 14:46:20,5889,4.617,0.044,4.946
2015-05-21 14:46:25,5890,5.458,0.037,8.31
2015-05-21 14:46:30,5891,6.299,0.058,1.21
2015-05-21 14:46:35,5892,1.252,0.085,-1.031
2015-05-21 14:46:40,5893,1.673,0.075,2.704
2015-05-21 14:46:45,5894,5.879,0.007,4.198
2015-05-21 14:46:50,5895,4.617,0.013,4.572
2015-05-21 14:46:55,5896,1.673,0.095,7.934
2015-05-21 14:47:00,5897,7.14,0.081,4.198
2015-05-21 14:47:05,5898,2.935,0.075,-1.031
2015-05-21 14:47:10,5899,5.037,0.075,-1.031
2015-05-21 14:47:15,5900,5.458,0.007,4.945
2015-05-21 14:47:20,5901,7.561,0.058,3.825
2015-05-21 14:47:25,5902,2.093,0.071,3.451
2015-05-21 14:47:30,5903,2.093,0.02,-0.284
2015-05-21 14:47:35,5904,6.299,0.085,4.572
2015-05-21 14:47:40,5905,5.879,0.047,1.584
2015-05-21 14:47:45,5906,7.14,0.105,1.21
2015-05-21 14:47:50,5907,6.72,0.0,0.837
2015-05-21 14:47:55,5908,5.879,0.051,-0.657
2015-05-21 14:48:00,5909,4.196,-0.007,-1.031
2015-05-21 14:48:05,5910,2.514,0.013,4.198
2015-05-21 14:48:10,5911,5.037,0.098,-1.404
2015-05-21 14:48:15,5912,7.561,0.068,2.331
2015-05-21 14:48:20,5913,8.4,0.007,-0.657
2015-05-21 14:48:25,5914,6.72,0.071,7.187
2015-05-21 14:48:30,5915,4.617,0.068,-0.284
2015-05-21 14:48:35,5916,2.514,0.047,0.463
2015-05-21 14:48:40,5917,9.24,0.027,-0.657
2015-05-21 14:48:45,5918,7.14,0.044,0.837
2015-05-21 14:48:50,5919,4.196,0.027,-1.031
2015-05-21 14:48:55,5920,7.981,0.074,7.56
2015-05-21 14:49:00,5921,1.673,0.041,3.825
2015-05-21 14:49:05,5922,3.776,0.064,-0.657
2015-05-21 14:49:10,5923,1.252,0.041,4.945
2015-05-21 14:49:15,5924,5.878,0.044,5.319
2015-05-21 14:49:20,5925,4.196,0.061,1.957
2015-05-21 14:49:25,5926,5.037,0.017,3.078
2015-05-21 14:49:30,5927,6.72,0.091,0.463
2015-05-21 14:49:35,5928,4.617,0.037,1.584
2015-05-21 14:49:40,5929,1.252,0.041,-0.284
2015-05-21 14:49:45,5930,5.458,0.068,7.934
2015-05-21 14:49:50,5931,2.093,0.095,-1.031
2015-05-21 14:49:55,5932,5.878,0.044,3.078
